datetime,id,output_kW
2024-09-30 01:00:00+00:00,WT1,993.9943313598633
2024-09-30 02:00:00+00:00,WT1,1467.1512603759766
2024-09-30 03:00:00+00:00,WT1,1765.6705220540364
2024-09-30 04:00:00+00:00,WT1,1938.7545267740886
2024-09-30 05:00:00+00:00,WT1,2028.3322525024414
2024-09-30 06:00:00+00:00,WT1,2091.161231994629
2024-09-30 07:00:00+00:00,WT1,2181.1995697021484
2024-09-30 08:00:00+00:00,WT1,2268.9468002319336
2024-09-30 09:00:00+00:00,WT1,2300.0
2024-09-30 10:00:00+00:00,WT1,2300.0
2024-09-30 11:00:00+00:00,WT1,2300.0
2024-09-30 12:00:00+00:00,WT1,2300.0
2024-09-30 13:00:00+00:00,WT1,2300.0
2024-09-30 14:00:00+00:00,WT1,2300.0
2024-09-30 15:00:00+00:00,WT1,2300.0
2024-09-30 16:00:00+00:00,WT1,2300.0
2024-09-30 17:00:00+00:00,WT1,2300.0
2024-09-30 18:00:00+00:00,WT1,2300.0
2024-09-30 19:00:00+00:00,WT1,2300.0
2024-09-30 20:00:00+00:00,WT1,2300.0
2024-09-30 21:00:00+00:00,WT1,2251.6334915161133
2024-09-30 22:00:00+00:00,WT1,2196.4696502685547
2024-09-30 23:00:00+00:00,WT1,2127.430877685547
2024-10-01 00:00:00+00:00,WT1,2063.8034439086914
2024-10-01 01:00:00+00:00,WT1,1985.174560546875
2024-10-01 02:00:00+00:00,WT1,1847.8096008300781
2024-10-01 03:00:00+00:00,WT1,1774.2197672526042
2024-10-01 04:00:00+00:00,WT1,1879.3362935384114
2024-10-01 05:00:00+00:00,WT1,2048.7367248535156
2024-10-01 06:00:00+00:00,WT1,2124.243812561035
2024-10-01 07:00:00+00:00,WT1,2020.1910400390625
2024-10-01 08:00:00+00:00,WT1,2300.0
2024-10-01 09:00:00+00:00,WT1,2300.0
2024-10-01 10:00:00+00:00,WT1,2300.0
2024-10-01 11:00:00+00:00,WT1,2300.0
2024-10-01 12:00:00+00:00,WT1,2300.0
2024-10-01 13:00:00+00:00,WT1,2300.0
2024-10-01 14:00:00+00:00,WT1,2300.0
2024-10-01 15:00:00+00:00,WT1,2300.0
2024-10-01 16:00:00+00:00,WT1,2300.0
2024-10-01 17:00:00+00:00,WT1,2300.0
2024-10-01 18:00:00+00:00,WT1,2300.0
2024-10-01 19:00:00+00:00,WT1,2300.0
